pnames,NIS_f1,NIS_f2,NIS_f3,NI_f1,NI_f2,NI_f3,IS_f1,IS_f2,IS_f3,NS_f1,NS_f2,NS_f3,N_f1,N_f2,N_f3,S_f1,S_f2,S_f3,I_f1,I_f2,I_f3,noInt_f1,noInt_f2,noInt_f3
κ,0.99996176034804,0.9999684074812508,0.9999531970367597,0.999968808887548,0.9999739542469728,0.9999816650614896,0.5669889161903017,0.9865418520767513,0.6680221858443459,0.9999578941172,0.9999377176562828,0.9999907652154756,0.9999816979856301,0.9999240590722839,0.9999732384187798,0.21671621317738737,0.2474646136530234,0.33234392875282576,0.8846327564358778,0.03425303078154551,0.7896909592859316,0.07137907669815062,0.994372904334526,0.9987919271199354
ϵ_new,1.3776607912965034e-8,1.821881121011246e-6,3.930848505693288e-6,1.153610920899371e-5,3.015290432039585e-5,0.000539602582622801,1.9200204574475283e-14,2.703869506791984e-16,2.8021835105821356e-14,7.327976272803341e-9,1.3452739230148221e-8,1.0989288396293858e-8,8.976123970875615e-5,0.0012754787099498008,0.0003982449079226655,3.5674783352517773e-22,2.3220153982795948e-21,6.699087919445502e-18,0.08766346614621602,0.05938309490814342,0.38533883189468715,0.0008239945861855708,0.3221964674046092,0.893236280235015
ϵ_obs,0.02181716298428687,0.0013431597512249414,0.012143838868445564,5.723070160062329e-6,0.0010758669147451832,0.0038001490398385344,6.762064807399023e-8,5.956145739397233e-10,1.337009759565803e-9,0.021634976229312455,0.0044187712175251005,2.2798624915105046e-5,0.002823444060016811,4.3618983008735874e-8,0.002467854299949997,1.5401657718655702e-6,4.350064099440858e-7,2.0989602073777677e-6,0.0005180989106990982,8.05856551759001e-5,0.0001737725735059113,0.00019081943669147175,2.870450103322695,0.062061400522101136
λ_e,0.9962457779395688,0.6134838258535852,0.9501164977199039,0.9982062427695856,0.8566286014621654,0.9314647916907932,0.99321410240975,0.9468307792512004,0.9933309123215578,0.9993152245024478,0.9231359093159606,0.9787997589810276,0.9943723871055671,0.9998728800967531,0.5261450059081897,0.9972462232841426,0.8953229727913283,0.8989071806085863,0.9935600709778175,0.9147358394692603,0.9319988406804465,0.5090567590839525,0.5094181686682471,0.5026927380646342
λ_i,0.7786614962563387,0.7739116699882712,0.6655061585425127,0.6899819565350396,0.7544200091917244,0.5908181947854131,0.9521785065591704,0.98308918007501,0.5761834487403097,0.7805572259483243,0.7917323695349457,0.5884848470028676,0.7187766253251654,0.7437336617278263,0.6549902909981751,0.8703578995887369,0.8745803975198523,0.8016838158289549,0.9785105787028523,0.9971772913473441,0.9938429123388471,9.999999999999999e-5,9.999999999999999e-5,9.999999999999999e-5
T_PS_e,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
T_PS_i,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ρ,0.07744626616812367,0.08301388960118232,0.12780980531274874,0.044475042803362515,0.08077822248499769,0.09430511641544695,0.04769492351061141,0.08430930491685826,0.07052515469590026,0.0784962907809182,0.09309265636307516,0.09878875659611899,0.06750144135550948,0.07523079786660306,0.09881024501045207,0.0650830174112276,0.09533725127624082,0.11929029325073061,0.03788964182359604,0.10012610474767236,0.10077985765599944,0.05107765915433838,0.058085671858999266,0.08014956010944466
μ_e,0.787841793720461,0.8880726614285314,0.879884357018991,0.881652482393785,0.8992866718580133,0.9077619701005517,0.8570307555033956,0.9282867790512488,0.8942306091245013,0.7822227490150837,0.8680220245425667,0.8664271170251661,0.7650732328313499,0.7906116837829554,0.89128492212465,0.7996732270272345,0.9248555422405679,0.9157489500541249,0.9023132386555075,0.9383339382895931,0.9353544756684314,0.9987268455462835,0.9983662465582729,0.9987082584731367
μ_i,0.46271694840927136,0.6154286287293435,0.40204138670280287,0.020157755432385762,0.6281430478575306,0.47935426515525326,0.09413389240010048,0.3282021229783313,0.06591979238285625,0.4556123465572122,0.5955707924680501,0.47050417985374404,0.484723338155482,0.614541020154249,0.4973858350390413,0.5793518940852889,0.6474648013032213,0.5761293295053783,0.15482197613727564,0.4044777093927646,0.2620431899087401,9.999999999999999e-5,9.999999999999999e-5,9.999999999999999e-5
